Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
-23.84880824,46.54384162,-11.82231091,11.71519135,42.47453022,0.479178134,69.71983095,-23.09642475,-42.78943968,-36.81994289,59.02891009,-28.27722101,10.02362406,38.50879739,-6.511051845,60.49390825,3.577070278,-4.224219709
-23.81983788,46.54331195,-11.79298891,11.67920175,42.48251854,0.472885119,69.74780917,-23.09284484,-42.80035764,-36.81983401,59.01059436,-28.23864176,10.01070736,38.53536766,-6.542863462,60.65143101,3.713535389,-4.310862071
-23.8051811,46.53933103,-11.77189814,11.69018086,42.44970899,0.518169262,69.72640216,-23.05545149,-42.77194918,-36.72196363,59.03659013,-28.15445836,9.96998621,38.54207701,-6.52964068,60.52496599,3.538417243,-4.259162056
-23.78149731,46.55256214,-11.74140959,11.72357489,42.41077694,0.616186555,69.66938249,-22.97707573,-42.76440618,-36.74421941,59.03576018,-28.15600235,9.995582248,38.54951027,-6.537902578,60.35443916,3.447970219,-4.275596007
-23.7467344,46.56396515,-11.70928915,11.64852371,42.43518147,0.609925592,69.70919188,-22.95434051,-42.80817349,-36.87031235,59.12205362,-28.25901894,10.00213802,38.44993539,-6.569772257,60.26792185,3.578544369,-4.395577668
-23.69029294,46.57620228,-11.65286229,11.55035053,42.46108228,0.611920619,69.77423208,-22.90710443,-42.87605142,-36.92713097,59.21253641,-28.365191,10.02194577,38.3523057,-6.528340078,60.40045446,3.725274663,-4.468965732
-23.65294143,46.56980538,-11.61745675,11.48849226,42.49347836,0.61438624,69.83671778,-22.9013967,-42.93149198,-37.04030835,59.27457631,-28.4206016,10.00972287,38.27014828,-6.600058041,60.22760211,3.780957858,-4.51023334
-23.62805648,46.56307068,-11.58131395,11.43024192,42.5174919,0.63965426,69.87396825,-22.8657566,-42.95584234,-37.07621056,59.25365662,-28.40423881,10.00240952,38.27755227,-6.657561226,60.40685032,3.848240001,-4.391575901
-23.60796862,46.55479901,-11.56100901,11.43331862,42.55868391,0.716075695,69.87023032,-22.80891269,-42.9991916,-37.07357628,59.25588181,-28.35881658,9.975628047,38.28431789,-6.705059602,60.53712212,3.746883159,-4.239039078
-23.59264244,46.54642455,-11.53142903,11.37557881,42.60420787,0.711944573,69.88992617,-22.79328959,-43.0334222,-37.21265261,59.26684609,-28.4465064,10.0040683,38.24691762,-6.738575341,60.39650986,3.882724176,-4.315290228
-23.57152618,46.54277979,-11.50522152,11.32963314,42.64690802,0.728634097,69.92118399,-22.76883586,-43.10497978,-37.25318011,59.31865931,-28.47025445,9.989211691,38.19741522,-6.747204208,60.2374632,3.797379607,-4.251974024
-23.55215764,46.53323741,-11.47937397,11.28255301,42.69372075,0.711978558,69.97380914,-22.76751497,-43.16856944,-37.37686221,59.30304682,-28.5938126,10.0466584,38.1746831,-6.73474836,60.38582972,3.674283495,-4.131833319
-23.52702488,46.52653059,-11.44695582,11.26241957,42.70951918,0.734298117,69.98405392,-22.74192548,-43.21571293,-37.33938725,59.31030798,-28.49105307,9.976126179,38.18776012,-6.823032377,60.21232859,3.663548661,-4.247991368
-23.51345851,46.52405094,-11.41728916,11.2573403,42.72502706,0.730889363,69.99889433,-22.75847456,-43.24699389,-37.32435718,59.31322865,-28.41332644,9.9201766,38.20004152,-6.896620487,60.07968001,3.751678464,-4.391443181
-23.50535047,46.51924529,-11.39431511,11.19938612,42.75821373,0.675143349,70.04840999,-22.77969045,-43.29865418,-37.17031952,59.27974905,-28.26227994,9.880740957,38.27189161,-6.890015124,60.26821851,3.698196491,-4.463266
-23.47697333,46.51617624,-11.35805981,11.19133887,42.80038617,0.649369948,70.04653351,-22.82005608,-43.32765611,-37.0920238,59.24478555,-28.14204953,9.86769094,38.32620365,-6.90563171,60.24750347,3.767333862,-4.65545204
-23.44888302,46.51311589,-11.3252851,11.16148166,42.8378405,0.622186381,70.0674829,-22.84179728,-43.35933064,-36.95096672,59.23731233,-27.93592534,9.756305917,38.37240953,-6.990612222,60.10753246,3.628413293,-4.602400578
-23.42404043,46.51303755,-11.2847551,11.10021594,42.88693108,0.568588358,70.11112861,-22.87537493,-43.42317217,-36.92514495,59.20428652,-27.84297086,9.739196405,38.41182842,-7.053019323,60.1778427,3.450593544,-4.483166535
-23.41250642,46.49927026,-11.25669438,11.06353374,42.94097664,0.494603778,70.13965244,-22.95233516,-43.47413909,-36.87791444,59.17110011,-27.71993059,9.663159723,38.45505538,-7.150056466,60.08283319,3.308578046,-4.399233408
-23.40553102,46.48585479,-11.22800516,11.01041528,42.98608454,0.416204401,70.17963744,-22.99978123,-43.52893777,-36.95585635,59.21654017,-27.81324108,9.69303509,38.38237192,-7.131828575,60.29881535,3.348184776,-4.408667812
-23.39273561,46.4782773,-11.20121773,10.98292484,43.02617556,0.326694144,70.21675251,-23.06966615,-43.57449882,-37.01508324,59.28558156,-27.81598898,9.684333318,38.2934098,-7.187761056,60.44281921,3.23879174,-4.319909409
-23.38518075,46.47382746,-11.16835377,10.9376956,43.05905962,0.244114832,70.24067855,-23.12341996,-43.62256295,-37.03303924,59.33758594,-27.86324331,9.723499318,38.21419133,-7.132882851,60.31922372,3.100012198,-4.237497374
-23.36989692,46.47256074,-11.1246148,10.88015581,43.10238573,0.150284407,70.26805772,-23.18486603,-43.65304784,-37.00893921,59.3130924,-27.82235957,9.743429171,38.21860188,-7.133711516,60.18097293,3.226740343,-4.354041566
-23.35381337,46.47441425,-11.08061125,10.81834338,43.14334953,0.036925155,70.29835595,-23.22658486,-43.68838747,-36.86850039,59.36500892,-27.57299147,9.578795721,38.21055659,-7.28208926,60.06240194,3.331079536,-4.494675133
-23.34152934,46.47361043,-11.04724555,10.83744146,43.16427487,-0.001999344,70.25907625,-23.28514506,-43.71442863,-36.78736839,59.3410734,-27.49576874,9.583908978,38.23332586,-7.261845109,60.22240938,3.459602847,-4.529601605
-23.3262756,46.48717066,-11.00395076,10.79578523,43.1679034,-0.093197999,70.24887614,-23.34877366,-43.73122417,-36.60186216,59.34548961,-27.34497131,9.52911575,38.26048144,-7.220950517,60.13578802,3.624931264,-4.597739915
-23.31781989,46.49979392,-10.96661523,10.74152121,43.16781729,-0.228964979,70.24172105,-23.43271047,-43.73908558,-36.56405861,59.318401,-27.30125144,9.537053695,38.28257412,-7.218085981,60.08982661,3.477772457,-4.47319688
-23.31044671,46.51578563,-10.93505767,10.68982671,43.18201501,-0.364283731,70.2460542,-23.49019272,-43.77292902,-36.42414392,59.27606336,-27.16496811,9.506168436,38.34285973,-7.212887908,60.24259461,3.551706967,-4.553359117
-23.30543439,46.52692582,-10.91406774,10.66674991,43.19856533,-0.487923273,70.23713771,-23.5496327,-43.80153175,-36.05858823,59.29720285,-26.83015421,9.362594546,38.39356824,-7.206912787,60.08443811,3.606651794,-4.608630621
-23.27891272,46.54454746,-10.88207388,10.57343282,43.20072615,-0.614771642,70.2156659,-23.5576177,-43.80109699,-35.8969569,59.31408394,-26.72186512,9.347206758,38.39420713,-7.141650364,60.07278019,3.515017353,-4.426114567
-23.25931182,46.55461797,-10.84881562,10.4913702,43.20764246,-0.72409069,70.19695515,-23.56080095,-43.80299346,-35.8551295,59.28094424,-26.76642466,9.427439739,38.40530603,-7.01846305,60.27637428,3.462971156,-4.350327412
-23.23338023,46.56044597,-10.80943972,10.43034915,43.21393905,-0.825210123,70.15231706,-23.57917083,-43.80096174,-35.74263445,59.27920193,-26.6922694,9.420199568,38.40913268,-6.972403384,60.09118681,3.510834234,-4.379131803
