Right_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_AnkleRot,Right_Ankleprog,Right_Ankledors,Left_KneeIntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_Hip_IntExt,Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_AnkleRot,Left_Ankleprog,Left_Ankledors
-1.416964498,8.124182617,-12.45448819,8.678990643,-23.98076915,-10.52107054,134.9876897,120.2000595,41.54998441,-27.69088056,3.932691878,-47.36960747,9.745644315,37.33633552,-0.929934352,55.44184624,39.79233071,-20.99476447
-1.401964441,8.014113971,-12.41999632,8.670170084,-23.95894705,-10.4671258,135.7626745,120.8867528,42.17097183,-27.64489501,4.042007396,-47.17964995,9.815183553,37.17173278,-1.128813044,55.25560744,40.01706997,-20.67142049
-1.389770394,7.909715572,-12.38898268,8.660671689,-23.93786101,-10.41044154,136.5906022,121.5883486,42.76944656,-27.6109104,4.178220387,-47.01498596,9.880520328,37.01451743,-1.311239618,55.05725105,40.22091852,-20.34018848
-1.382852529,7.805024628,-12.36349456,8.653550734,-23.91712899,-10.34999853,137.4635995,122.310213,43.34367735,-27.59061759,4.34394742,-46.86611633,9.941882517,36.86258065,-1.480328239,54.8552812,40.39196914,-20.00609911
-1.372468003,7.702147629,-12.34267949,8.647789068,-23.89805686,-10.28694053,138.3749826,123.0616753,43.89124216,-27.58348759,4.538034269,-46.71278074,9.9990263,36.71356012,-1.637673807,54.66556379,40.54215573,-19.74617497
-1.359992171,7.598368656,-12.32648087,8.643484664,-23.8791027,-10.22076548,139.2936792,123.8352919,44.39933087,-27.58797439,4.758290045,-46.53145747,10.05228451,36.56605377,-1.786141355,54.51129804,40.66230949,-19.51994961
-1.340710388,7.499206143,-12.31575838,8.6428376,-23.86363049,-10.15037474,140.2239979,124.6366558,44.87144223,-27.58736118,4.989421182,-46.31190338,10.10326146,36.41711226,-1.924867293,54.41675905,40.70954007,-19.29895765
-1.315645378,7.398175285,-12.3068779,8.645819512,-23.84755578,-10.07589144,141.153242,125.4549583,45.29579974,-27.57720662,5.219052119,-46.04752365,10.15241682,36.26896492,-2.053145914,54.32210119,40.62088237,-19.10337804
-1.287773211,7.293663623,-12.30267922,8.651255239,-23.8294097,-9.998195403,142.1003987,126.2802822,45.65918959,-27.56602911,5.444758736,-45.74049541,10.19856026,36.12022142,-2.169627049,54.23794753,40.37543719,-18.94824322
-1.258410855,7.186275163,-12.30932029,8.659226951,-23.8122575,-9.916510253,143.0663353,127.119552,45.95421741,-27.54296099,5.661351521,-45.40861436,10.24415504,35.96832934,-2.274095588,54.18982804,39.99005687,-18.84249942
-1.225338411,7.075019446,-12.31970453,8.666883709,-23.7926617,-9.83333137,144.0537211,127.9825064,46.18001214,-27.49536619,5.817172831,-45.07005625,10.2870665,35.81654053,-2.364984405,54.21088591,39.50849621,-18.79564566
-1.187762122,6.960460472,-12.3342954,8.677760406,-23.77354436,-9.745798155,145.0559882,128.8644021,46.33760457,-27.40072144,5.909595639,-44.75027126,10.33059436,35.66194394,-2.445442115,54.29515487,38.9515953,-18.74702197
-1.146807655,6.840335599,-12.35203288,8.687957244,-23.75464083,-9.656202589,146.0556972,129.7454694,46.42931285,-27.21280803,5.874450621,-44.49265742,10.37298082,35.50563494,-2.514940229,54.45884375,38.34231889,-18.65470081
-1.097087574,6.714802069,-12.37210183,8.698001716,-23.73343807,-9.563369083,147.0001266,130.5920699,46.49031186,-26.98432045,5.773484875,-44.28328569,10.41644922,35.3485456,-2.576557319,54.6219738,37.72038456,-18.49911947
-1.040737619,6.58707675,-12.39204053,8.708625037,-23.71356288,-9.467376902,147.8223321,131.3348354,46.57387846,-26.71375897,5.599933736,-44.13039368,10.46105465,35.189753,-2.63036987,54.76179422,37.12806421,-18.27770116
-0.980606328,6.452622032,-12.41197433,8.716100094,-23.68917998,-9.368327822,148.5965735,132.0270587,46.64383971,-26.42926103,5.371036235,-44.01439237,10.5058626,35.03361851,-2.676851768,54.84084638,36.58522473,-18.00010453
-0.916823479,6.313189598,-12.43015479,8.722988979,-23.6651752,-9.266992822,149.3597675,132.6885951,46.66966836,-26.16707938,5.09866147,-43.91044356,10.55181009,34.87630825,-2.715945596,54.85489316,36.10013269,-17.68156114
-0.841835071,6.151020347,-12.44934164,8.716401296,-23.6242226,-9.162266711,150.0682646,133.27299,46.67611251,-25.92959411,4.789934136,-43.79868148,10.59765137,34.71939558,-2.748337051,54.79975215,35.64226156,-17.32014972
-0.766745631,5.985418143,-12.46255332,8.710340201,-23.5851948,-9.057268685,150.6964714,133.76311,46.69294275,-25.72729541,4.441259625,-43.66502085,10.64415027,34.56186125,-2.773131124,54.66573582,35.19428024,-16.97646343
-0.691917445,5.815070805,-12.46856448,8.702287755,-23.54778825,-8.952668211,151.2281785,134.219351,46.77805512,-25.55405504,4.067578849,-43.50555007,10.69052416,34.40326773,-2.789570288,54.4219879,34.75435733,-16.70286682
-0.617911226,5.641983532,-12.46625633,8.693837651,-23.51302108,-8.847354518,151.6809604,134.6983052,46.87812173,-25.39650576,3.672088611,-43.322572,10.73770342,34.24334719,-2.796395258,54.16967069,34.3362374,-16.51050434
-0.542590904,5.462605722,-12.45505591,8.683571603,-23.48018602,-8.743045066,152.0137989,135.0982846,46.95251798,-25.24613247,3.276653022,-43.11705221,10.78413659,34.08045738,-2.792107059,53.92007902,33.93668681,-16.37537232
-0.465941529,5.278318182,-12.42924934,8.667137797,-23.44998484,-8.643176089,152.2392123,135.3238326,46.94743778,-25.08882857,2.889934181,-42.893147,10.82517517,33.9148668,-2.773618846,53.69086386,33.53570364,-16.27116179
