Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-24.39682771,-43.79968891,68.01665343,47.08862834,-22.27352297,-10.82869387,48.33736802,10.69791519,2.234643934,4.720956183,-4.385685654,55.56291089,56.15019679,-35.38054659,-26.9596717,40.02389749,14.52574867,-4.349350519
-24.40033113,-43.82822409,68.06676845,47.09103117,-22.25124305,-10.81248352,48.34921099,10.64631515,2.205854146,4.629207546,-4.228453643,55.54991506,56.23754771,-35.21161327,-26.8916931,39.9670706,14.45750806,-4.270100948
-24.40222608,-43.83843797,68.05432908,47.09293433,-22.24312261,-10.80867347,48.34470553,10.65498043,2.213090215,4.760023226,-4.264406074,55.49568796,56.26164129,-35.26188946,-26.9347095,39.93400008,14.45354973,-4.291083893
-24.41181606,-43.80898881,68.01559548,47.09263828,-22.24218466,-10.81282194,48.34238217,10.69529818,2.243691852,4.818185923,-4.287611141,55.71904233,56.30003676,-35.17712524,-26.85269044,39.92471826,14.36830509,-4.317104606
-24.40684795,-43.83641885,68.00485219,47.09358263,-22.23228768,-10.80759161,48.38926059,10.74261197,2.298515375,4.727968025,-4.137880119,55.67510246,56.32083853,-35.18480455,-26.82416039,39.91863009,14.32216547,-4.378681723
-24.4158227,-43.85091631,68.00780793,47.09556139,-22.21929031,-10.79496755,48.42772251,10.73330619,2.305821043,4.772655513,-4.090962268,55.90569471,56.34022522,-35.14482738,-26.79988436,39.91250074,14.29451297,-4.376556793
-24.43269558,-43.85830496,68.05686164,47.09769636,-22.21152733,-10.80071395,48.45601561,10.69266317,2.273184539,4.826352552,-4.152138318,56.06641726,56.3636583,-35.11654025,-26.6981945,39.9208389,14.19847217,-4.497387189
-24.43520118,-43.84315804,68.04152363,47.10984132,-22.18188211,-10.77408618,48.4527642,10.68067406,2.263063973,4.800811306,-4.130073896,55.88356275,56.367851,-35.11848442,-26.6551811,39.92701089,14.17601552,-4.556535292
-24.44333278,-43.81730195,68.01962341,47.11622525,-22.16654129,-10.76345943,48.44964613,10.69268968,2.264792134,4.759500877,-4.094185833,55.74473318,56.42494981,-35.18580422,-26.68453986,39.86520414,14.15756887,-4.603053798
-24.43089703,-43.80344721,67.9786745,47.12713416,-22.14559131,-10.75074356,48.43960727,10.71213635,2.29142776,4.80087892,-4.191689139,55.93943638,56.48157274,-35.1864743,-26.73238933,39.79869327,14.15954945,-4.560168742
-24.41866908,-43.7889773,67.95609802,47.13630521,-22.13308916,-10.74299244,48.42921823,10.70819995,2.29649773,4.711798605,-4.153700446,55.79335593,56.50001916,-35.2593481,-26.82675878,39.76044178,14.18259339,-4.554501333
-24.41766918,-43.80317834,67.96735376,47.14398946,-22.12153763,-10.73660855,48.42141634,10.70960795,2.306511071,4.557170839,-4.082269904,55.76564522,56.50971157,-35.26742637,-26.82561008,39.757893,14.14460639,-4.593766226
