Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-16.40576841,42.9526017,56.26186318,-1.32720862,7.024681308,6.93476622,-43.76512217,18.42628907,-17.57886445,6.980717575,87.97078419,148.1508265,2.732354553,-4.11466718,-1.162762493,-15.61361776,-25.21654246,8.101766882
-16.57205018,42.71775193,56.5578619,-1.336615217,7.029270185,6.873194099,-43.39258473,17.82325402,-17.29944084,7.143485252,88.03461666,148.1848672,2.736431567,-3.88857016,-1.291605846,-15.44739256,-25.6104784,8.280603682
-16.67843374,42.48331886,56.84268189,-1.345482899,7.026273061,6.814872206,-43.05371709,17.24088754,-16.99849027,7.307251605,88.09411734,148.2222094,2.73772627,-3.66657716,-1.416367456,-15.27131751,-26.00533389,8.454748646
-16.71457643,42.25376613,57.11719541,-1.355018096,7.020015146,6.759499529,-42.74912242,16.67993083,-16.66788815,7.47851696,88.1502024,148.2677566,2.735372357,-3.446552374,-1.537176207,-15.08573036,-26.40035736,8.621519426
-16.68122958,42.03358863,57.38097161,-1.367194326,7.009840918,6.711047605,-42.47730456,16.13689195,-16.30173472,7.658860719,88.20173056,148.3208655,2.72601161,-3.227765939,-1.656843018,-14.8839716,-26.79651184,8.784306377
-16.57169826,41.80361088,57.63026779,-1.379943852,6.991522973,6.665920113,-42.23403958,15.60566781,-15.88477051,7.84980221,88.24941012,148.3813554,2.712325912,-3.014815765,-1.774007076,-14.66747747,-27.19313266,8.941988233
-16.40490067,41.53894966,57.86826746,-1.393622575,6.972179019,6.627998551,-41.99851875,15.08181056,-15.42666215,8.050707011,88.29147278,148.4501932,2.694957381,-2.80249689,-1.88963228,-14.43763257,-27.58996343,9.094375325
-16.2006763,41.23519367,58.08901498,-1.411308665,6.946045277,6.595553181,-41.75799591,14.57758976,-14.93635431,8.256453848,88.32732725,148.5174757,2.673127698,-2.590382384,-2.006271795,-14.1943561,-27.98758869,9.242991695
-15.9774244,40.92389615,58.29824859,-1.43080265,6.919797834,6.563933231,-41.52513952,14.08485135,-14.42972307,8.465885857,88.35640097,148.5844155,2.646313453,-2.378426184,-2.121460304,-13.93828167,-28.38379561,9.384988923
-15.73598916,40.62999084,58.48414403,-1.451264534,6.889106238,6.54136567,-41.30214263,13.61937489,-13.93513474,8.680747897,88.37577697,148.6509563,2.613852692,-2.169331171,-2.232606689,-13.66618895,-28.78000466,9.519115958
-15.4842809,40.35509939,58.63607701,-1.472288531,6.856499033,6.525302283,-41.09138094,13.17125969,-13.45993888,8.901153777,88.38517168,148.7181734,2.578321069,-1.964171898,-2.337414614,-13.37933632,-29.17466954,9.645106019
-15.22451271,40.09364541,58.76432425,-1.494453792,6.821336169,6.51577917,-40.89402845,12.73222196,-12.99777505,9.13556222,88.37965381,148.7875953,2.536948712,-1.759705424,-2.439679216,-13.06529114,-29.5676806,9.763028591
