Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
91.37550188,-59.90236909,-74.56150275,-154.620158,-68.87885325,164.5384188,2.598346002,10.90387725,13.05593131,-0.662374143,1.292702121,-17.76559205,79.85775752,-10.48057383,-83.04393289,30.19059969,-34.10382885,-14.22997361
83.73327235,-61.0539657,-66.89749253,-159.477733,-70.63650171,169.4637905,2.060788134,9.159838543,12.6440069,-4.496000867,1.268128561,-19.28682164,80.5253097,-9.345428361,-83.54905726,24.66237719,-36.5659132,-8.09866537
78.92209654,-62.7017448,-63.7725342,-167.6960256,-72.33631181,176.9789721,2.263442199,8.904184623,13.4281444,-9.304369006,1.03305448,-20.51152128,82.09701805,-7.967317477,-83.51588092,19.51216224,-38.0768704,-1.792667812
79.03423608,-63.8964544,-65.89133397,-178.9672013,-72.79106265,173.5638086,2.386199131,10.00008405,15.65047219,-14.41779271,2.089515239,-20.28165164,83.2279071,-6.249950417,-83.42616621,15.91008404,-38.88775362,3.857498243
82.12584916,-65.50988194,-68.98884417,-171.0175035,-71.66791528,164.9996713,2.356959125,12.20896064,16.19691666,-18.66424514,3.475332814,-20.59054483,84.6678882,-5.209433362,-83.32907316,12.1321509,-38.5834756,9.87701243
83.27517998,-67.23958449,-69.89272433,-163.043126,-69.99341803,158.537344,2.741305957,13.62111351,15.74330304,-22.7507464,5.091234228,-21.11783799,85.65153186,-4.150013615,-83.26783121,9.258871792,-37.0142301,14.97146159
82.93373674,-68.57800348,-70.4768994,-156.1880288,-67.62738875,153.417076,3.263826739,14.36207407,15.82899325,-26.65579312,6.781195542,-21.42854882,86.49753173,-3.390479793,-83.35601661,7.981522322,-34.82160255,18.3056712
80.3949719,-70.41776804,-69.18844393,-151.6493406,-65.10767346,150.6278967,4.105838109,14.35688128,15.9648297,-30.03177639,7.484291804,-22.26618481,87.26553998,-2.897944523,-83.27403715,6.81610301,-33.48625577,21.23651656
76.07731483,-72.44780423,-65.63826003,-149.7507268,-63.40493692,149.9835573,5.081785512,14.0098895,16.15187016,-33.02517484,7.661684838,-22.85840527,87.98483224,-2.436924546,-83.15381433,10.4078273,-33.80766156,20.97665473
71.72727596,-74.28423869,-61.76651741,-147.2991869,-61.74855794,148.1723744,6.086285944,13.56393777,16.39311251,-34.85207816,7.673466857,-23.72472321,88.66859526,-2.102996767,-82.91467051,13.7606263,-35.61445074,19.05382572
68.06707111,-76.08430147,-58.17754961,-144.9085581,-60.38195398,146.1761284,7.154845572,13.34391827,16.78572003,-35.7231952,7.480616971,-23.47100495,89.19265027,-1.648364926,-82.59447432,17.98207864,-37.50845714,15.74844837
63.28006655,-78.03954315,-53.28608599,-143.2628851,-59.07759136,145.079592,8.249118242,13.30131519,16.95576585,-36.01609894,8.140079942,-22.30903046,89.62974215,-1.279454954,-82.37365656,23.71415559,-38.33550251,10.53721201
58.10974069,-80.19274902,-48.15372216,-142.0850804,-57.79303572,144.439525,9.348455978,13.56532642,16.98792296,-35.51162516,9.229741202,-20.68719665,90.0633124,-1.175961502,-82.04857415,29.97852379,-37.56379268,4.109490012
51.40392355,-82.53209267,-41.63663152,-141.1299729,-56.72914305,143.9563335,10.57072061,14.10906286,17.19765282,-34.21732326,10.70052629,-18.55339463,90.43599162,-1.066814113,-81.72635771,36.27023999,-35.52303436,-3.380294205
39.63128676,-84.66809136,-30.10602215,-140.2602201,-55.89005404,143.4930356,11.79877932,14.66183101,17.38212625,-31.97642816,12.26284827,-15.76185057,90.80722769,-1.005199558,-81.41484262,41.80868842,-31.79557077,-11.22531403
16.19026675,-86.17853569,-6.879166198,-139.5348148,-55.56781195,143.1093371,13.036836,15.17794702,17.66111758,-28.60170893,13.49848078,-12.21751917,91.11198862,-0.842176267,-81.20367134,45.40487924,-26.42361896,-18.48738901
16.34628952,-86.48105387,-25.65165461,-139.1644021,-55.81909349,142.7990368,14.09111309,15.53177481,17.94782431,-24.29091117,14.0319775,-7.973895488,91.39268101,-0.630734322,-81.03981327,46.83048374,-19.92626396,-24.81834185
38.79075504,-86.07311066,-48.20155463,-139.0359012,-56.09556805,142.5368292,14.84025831,15.69426712,18.12088452,-18.97433865,13.90827508,-3.884809675,91.7350499,-0.422588534,-80.8860608,45.91717923,-13.41381775,-29.58068077
53.24926923,-84.59572831,-62.80681205,-139.7815195,-57.08657039,143.1633597,15.38305273,15.72484717,18.24055097,-13.74885436,13.35929905,-0.313300501,92.14093807,-0.162907153,-80.77001695,44.08930137,-6.977097923,-33.58626694
